Student_ID,Gender,Age,Major,Attendance_Pct,Study_Hours_Per_Day,Previous_CGPA,Sleep_Hours,Social_Hours_Week,Final_CGPA,Number_of_Subjects,Average_Score
ID00001,Male,20,Engineering,83.9,4.4,2.65,9.1,8,2.78,4,65.08
ID00002,Female,24,Business,80.7,4.0,3.58,4.0,4,3.76,7,76.03
ID00003,Female,20,Mathematics,91.5,3.9,3.29,6.7,4,3.75,7,78.22
ID00004,Female,23,Engineering,73.9,8.8,3.48,4.0,6,3.69,6,86.38
ID00005,Male,21,Economics,79.8,2.2,2.66,8.7,6,2.34,6,59.32
ID00006,Male,20,Business,86.8,3.5,2.16,7.0,7,2.41,8,57.19
ID00007,Male,22,Mathematics,77.5,3.6,2.66,8.7,5,2.69,4,64.77
ID00008,Female,20,Psychology,95.0,4.7,3.44,7.4,4,3.76,7,77.97
ID00009,Female,22,Computer Science,100.0,4.3,4.0,5.0,12,4.0,5,87.37
ID00010,Female,24,Economics,73.7,4.1,2.89,5.5,3,3.01,4,66.63
ID00011,Male,20,Business,60.0,2.2,4.0,6.8,14,4.0,6,77.39
ID00012,Female,22,Computer Science,55.0,4.3,3.51,7.9,4,3.38,8,68.8
ID00013,Female,20,Psychology,82.7,6.0,2.4,7.1,9,2.75,7,60.15
ID00014,Male,24,Engineering,75.1,4.8,3.21,7.3,6,3.2,7,66.76
ID00015,Male,20,Engineering,88.1,2.1,3.53,6.5,10,3.71,7,70.98
ID00016,Male,19,Mathematics,87.0,4.5,1.89,8.7,11,2.03,7,52.8
ID00017,Male,22,Business,61.0,4.3,3.42,7.2,8,3.36,6,70.41
ID00018,Male,24,Business,57.8,3.4,3.69,7.1,14,3.31,4,68.42
ID00019,Male,22,Mathematics,89.4,4.8,3.3,7.4,8,3.75,8,75.22
ID00020,Male,22,Computer Science,87.0,2.9,3.07,6.4,11,3.41,6,67.44
ID00021,Female,18,Engineering,78.6,6.2,3.01,6.5,7,3.11,6,72.12
ID00022,Male,24,Engineering,60.1,11.0,2.98,7.7,7,3.26,5,81.97
ID00023,Male,20,Business,92.1,6.5,2.51,8.2,8,2.93,4,72.52
ID00024,Male,22,Business,100.0,2.6,2.76,8.3,6,2.79,8,68.2
ID00025,Male,23,Mathematics,89.2,6.0,2.89,6.7,4,3.2,7,72.65
ID00026,Female,18,Psychology,72.3,6.8,3.16,7.2,12,3.3,7,73.83
ID00027,Male,19,Computer Science,85.7,5.2,2.82,6.1,9,3.26,6,71.58
ID00028,Male,22,Economics,64.5,5.6,2.67,8.2,5,2.79,8,65.79
ID00029,Female,22,Psychology,100.0,4.0,3.48,5.6,9,3.8,6,78.13
ID00030,Male,18,Psychology,86.2,1.9,3.29,7.3,7,3.49,6,70.7
ID00031,Female,20,Business,58.5,3.9,2.83,8.3,6,2.54,6,55.24
ID00032,Male,23,Business,80.5,2.3,3.35,7.2,7,3.5,5,71.42
ID00033,Male,19,Business,91.9,3.7,2.87,7.5,8,3.2,4,72.12
ID00034,Female,22,Psychology,80.0,3.0,3.13,6.6,10,3.48,6,68.2
ID00035,Female,20,Computer Science,80.9,2.2,3.59,4.2,10,3.85,8,79.44
ID00036,Female,24,Business,66.6,8.6,2.8,6.0,7,2.91,4,69.71
ID00037,Male,23,Engineering,93.5,4.2,2.51,7.1,7,2.71,8,66.94
ID00038,Male,24,Computer Science,75.3,3.1,3.03,6.0,4,2.86,8,66.58
